idx	family	p	n	K	seed
1	gaussian	20	500	1	1001
2	gaussian	20	500	2	1002
3	gaussian	20	2000	1	1003
4	gaussian	20	2000	2	1004
5	gaussian	50	500	1	1005
6	gaussian	50	500	2	1006
7	gaussian	50	2000	1	1007
8	gaussian	50	2000	2	1008
9	poisson	20	500	1	1009
10	poisson	20	500	2	1010
11	poisson	20	2000	1	1011
12	poisson	20	2000	2	1012
13	poisson	50	500	1	1013
14	poisson	50	500	2	1014
15	poisson	50	2000	1	1015
16	poisson	50	2000	2	1016
17	nb2	20	500	1	1017
18	nb2	20	500	2	1018
19	nb2	20	2000	1	1019
20	nb2	20	2000	2	1020
21	nb2	50	500	1	1021
22	nb2	50	500	2	1022
23	nb2	50	2000	1	1023
24	nb2	50	2000	2	1024
